"","STATION","CRUISE","DEPTH","DATETIME","LATITUDE","LONGITUDE","CTDPRS","CTDTMP","CTDSAL","CTDOXY","PAR","QUALT1","CHLPIG","BEAM.AT","XMISS","ecotype_name","gene_id","cycog_iid","mean_tpm"
"1",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-321-E21",2717632933,60000659,2.154895
"2",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-331-J19",2717582034,60000659,2.154895
"3",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-335-J02",2717643085,60000659,7.266841
"4",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-C10",2717239849,60000659,8.8117965
"5",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-I15",2667838927,60000659,3.224286
"6",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-I22",2667844457,60000659,3.232343
"7",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-I23",2667845239,60000659,2.406881
"8",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-J06",2717247566,60001067,52.528643
"9",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-J21",2667852384,60000659,3.232343
"10",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-K10",2717147949,60000659,3.232343
"11",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-K16",2667828629,60000659,3.512122
"12",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-L21",2667702623,60000659,3.419111
"13",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-M08",2717248655,60000659,19.462108
"14",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-M18",2667707010,60000659,2.406881
"15",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-347-M23",2667708221,60000659,4.093489
"16",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-355-B18",2667764812,60000659,0.808086
"17",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-355-I04",2667769872,60000659,3.232343
"18",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-355-J09",2667774593,60000659,21.336042
"19",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-355-L20",2667786841,60000659,0.496154
"20",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-355-M18",2667792567,60000659,3.232343
"21",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-355-N02",2667793122,60000659,6.464686
"22",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-355-P16",2667870123,60000659,3.232343
"23",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-388-A04",2717652312,60000659,2.154895
"24",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-388-D03",2717655216,60000659,3.195973
"25",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-388-F11",2717259146,60000659,27.633152
"26",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-402-C22",2717276411,60000659,3.547852
"27",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-402-F05",2717279152,60000659,1.616172
"28",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-402-G23",2667717720,60000659,3.730644
"29",2,"mgl1704",15,"5/29/17 14:26",25.76833333,158.0141667,15,24.361,35.244,218.59,0.32,22222222,0.0497,0.2652,93.58,"AG-402-K22",2667733193,60000659,3.2404
